ESPH1705148347 ESPH1704373126 USAM0071494672
USAM0001528958 USAH0005117083 USAM0001381027
USAH0005117083 USAH0003507323 USAM0001213880
USAH0003507323 USAH0003074107 USAM0001010660
USAM0001010660 00000000000000 00000000000000
USAH0003074107 00000000000000 00000000000000
USAH0005595569 USAH0005117084 USAM0001357442
USAM0001357442 USAH0004206247 USAM0001291499
USAH0004206247 USAH0003733855 USAM0001213880
USAH0003733855 USAH0003211885 USAM0001171453
USAH0003211885 USAH0002556873 USAM0000984801
USAM0000984801 00000000000000 00000000000000
USAH0002556873 00000000000000 00000000000000
USAH0005117084 00000000000000 00000000000000
USAH0069804610 USAH0064350530 USAM0064966739
USAH0064350530 USAH0062443682 USAM0129800008
USAM0129800008 USAH0015982323 USAM0002250783
USAH0015982323 USAH0014787912 USAM0002119526
USAH0014787912 USAH0012088997 USAM0001672151
USAH0012088997 USAH0009750548 USAM0001650414
USAH0009750548 USAH0008372147 USAM0001491007
USAH0008372147 USAH0007055976 USAM0001392858
USAH0007055976 USAH0005945334 USAM0001282262
USAH0005945334 USAH0004165626 USAM0001239886
USAH0004165626 USAH0003763130 USAM0000837025
USAH0003763130 USAH0002872134 USAM0000858418
USAM0000858418 USAH0001742897 USAM0000629472
USAH0001742897 USAH0001423464 USAM0000422078
USAH0001423464 00000000000000 00000000000000
USAH0002872134 00000000000000 00000000000000
USAH0142784970 USAH0140591000 840M3006972816
USAH0140591000 USAH0139154340 USAM0135746776
USAH0139154340 USAH0135420948 GBRM0000598172
USAH0135420948 USAH0130194622 USAM0120780521
USAM0120780521 USAH0015788871 USAM0002163822
USAH0015788871 USAH0015106049 USAM0002052239
USAM0002052239 USAH0011258529 USAM0001773417
USAH0015106049 USAH0014428966 USAM0001874634
USAH0014428966 USAH0012710780 USAM0001929410
USAH0012710780 USAH0011464413 USAM0001697572
USAH0130194622 USAH0123806631 USAM0002249055
USAH0123806631 USAH0015533175 CANM0005470579
USAH0015533175 USAH0014766659 USAM0001912270
USAH0014766659 USAH0013856483 USAM0002020049
ESPH1704526451 ESPH1704121798 840M3010354319
ESPH1704121798 ESPH1703757341 00000000000000
ESPH1703757341 ESPH1703192910 USAM0132816001
ESPH1703192910 ESPH1702961069 USAM0133511981
USAM0133511981 USAH0129619323 USAM0002250783
USAH0129619323 USAH0014763520 CANM0005757117
CANM0005757117 CANH0005319783 CANM0000390409
CANM0000390409 CANH0003567417 CANM0000352790
CANH0005319783 CANH0004425038 USAM0001929410
USAH0014763520 USAH0012963330 USAM0001773417
USAH0012963330 USAH0011434076 USAM0001590582
USAH0011434076 USAH0010359226 USAM0001674582
USAH0010359226 USAH0010101076 CANM0000327279
USAH0010101076 CANH0002703144 CANM0000290516
CANH0002703144 CANH0002349330 CANM0000291714
CANH0002349330 CANH0001994214 CANM0000302803
CANM0000302803 CANH0001049831 CANM0000267150
CANH0001049831 CANH0000833390 CANM0000212300
CANH0000833390 CANH0000653743 00000000000000
CANH0000653743 00000000000000 00000000000000
CANH0001994214 CANH0001772601 CANM0000263332
CANH0001772601 CANH0001577863 CANM0000275120
CANM0000275120 CANH0001061282 USAM0001152252
CANH0001061282 CANH0000700193 CANM0000216947
CANH0000700193 00000000000000 00000000000000
CANH0001577863 CANH0001375035 CANM0000233528
CANH0001375035 CANH0001152948 00000000000000
CANH0001152948 CANH0000988340 CANM0000241863
CANM0000241863 00000000000000 00000000000000
CANH0000988340 00000000000000 00000000000000
ESPH1702961069 DNKH5256000960 DNKM0000241941
DNKM0000241941 DNKH3159800899 NLDM0776846536
NLDM0776846536 NLDH0316418766 FRAM4483049978
NLDH0316418766 USAH0010923725 USAM0001856904
USAH0010923725 USAH0008634599 USAM0001667366
USAH0008634599 USAH0008149624 USAM0001491007
USAH0008149624 USAH0007034710 USAM0001524956
USAM0001524956 XXXH0005098869 USAM0001347940
XXXH0005098869 USAH0003350773 USAM0001024856
USAH0003350773 USAH0003102230 USAM0001070842
USAM0001070842 00000000000000 00000000000000
USAH0003102230 00000000000000 00000000000000
USAH0007034710 USAH0006385576 USAM0001497014
USAM0001497014 USAH0005693166 USAM0001459996
USAH0005693166 USAH0004939372 USAM0001237057
USAH0004939372 USAH0003716625 USAM0001282695
USAM0001282695 USAH0002719279 USAM0001194907
USAM0001194907 USAH0003170514 USAM0001047517
USAM0001047517 00000000000000 00000000000000
USAH0003170514 00000000000000 00000000000000
USAH0002719279 00000000000000 00000000000000
USAH0003716625 USAH0003374861 USAM0000857269
USAH0003374861 00000000000000 00000000000000
USAH0006385576 USAH0005045936 USAM0001458789
USAM0001458789 USAH0004475261 USAM0001189870
USAH0004475261 USAH0003934162 USAM0001283281
USAM0001283281 USAH0003631012 USAM0001210119
USAM0001210119 USAH0003170057 USAM0000896853
USAH0003170057 USAH0002917080 USAM0001051152
USAM0001051152 00000000000000 00000000000000
USAH0002917080 00000000000000 00000000000000
USAH0003631012 USAH0002384271 USAM0001112084
USAM0001112084 00000000000000 00000000000000
USAH0002384271 00000000000000 00000000000000
USAH0003934162 USAH0003460596 USAM0001178174
USAM0001178174 USAH0002393127 USAM0000741318
USAH0002393127 00000000000000 00000000000000
USAH0003460596 USAH0003126592 USAM0001051152
USAH0003126592 00000000000000 00000000000000
USAH0005045936 USAH0004322841 USAM0001311381
USAM0001311381 USAH0003452941 USAM0001176496
USAM0001176496 USAH0002820379 USAM0000869394
USAM0000869394 00000000000000 00000000000000
USAH0002820379 00000000000000 00000000000000
USAH0003452941 00000000000000 00000000000000
USAH0004322841 00000000000000 00000000000000
DNKH3159800899 DNKH3159800735 FRAM3588001281
FRAM3588001281 USAH0011228295 USAM0001773417
USAH0011228295 USAH0010625271 USAM0001667366
USAH0010625271 USAH0009884733 USAM0001667692
USAM0001667692 USAH0006713723 USAM0001450228
USAH0006713723 USAH0005974748 USAM0001399824
USAH0005974748 USAH0004956598 USAM0001189870
USAH0004956598 USAH0003540373 USAM0001105403
USAM0001105403 USAH0002174345 USAM0000786098
USAH0002174345 00000000000000 00000000000000
USAH0003540373 USAH0002937564 USAM0000920250
USAH0002937564 00000000000000 00000000000000
USAH0009884733 USAH0007380977 USAM0001701643
USAM0001701643 USAH0007898704 USAM0001556373
USAH0007898704 USAH0006556003 USAM0001392858
USAH0006556003 USAH0004889254 USAM0001315612
USAH0004889254 USAH0004101490 USAM0001125894
USAM0001125894 USAH0002765829 USAM0001023833
USAH0002765829 00000000000000 00000000000000
USAH0004101490 USAH0003721444 USAM0001150469
USAH0003721444 00000000000000 00000000000000
USAH0007380977 USAH0007166843 USAM0001483844
USAH0007166843 USAH0006259196 USAM0001486914
USAM0001486914 USAH0005733450 USAM0001459996
USAH0005733450 USAH0005016824 USAM0001402761
USAM0001402761 USAH0004741146 USAM0001378594
USAH0004741146 USAH0003955252 USAM0001244845
USAH0003955252 USAH0002952038 USAM0000895911
USAH0005016824 USAH0003869755 USAM0001312024
USAM0001312024 USAH0002996399 USAM0001013415
USAH0002996399 00000000000000 00000000000000
USAH0003869755 USAH0003209970 USAM0001070261
USAM0001070261 00000000000000 00000000000000
USAH0003209970 00000000000000 00000000000000
USAH0006259196 USAH0005255713 USAM0001304384
USAM0001304384 USAH0003882120 USAM0001244845
USAH0003882120 USAH0003167991 USAM0001172396
USAH0005255713 USAH0004470644 USAM0001352371
USAM0001352371 USAH0003458506 USAM0001248754
USAM0001248754 00000000000000 00000000000000
USAH0003458506 USAH0003211698 USAM0001068240
USAM0001068240 00000000000000 00000000000000
USAH0003211698 00000000000000 00000000000000
USAH0004470644 00000000000000 00000000000000
DNKH3159800735 DNKH3159800649 CANM0000392457
DNKH3159800649 DNKH3159800514 USAM0001879085
DNKH3159800514 DNKH3159800409 USAM0001723741
DNKH3159800409 DNKH3159800190 CANM0000330643
DNKH3159800190 DNKH3159800158 USAM0001504551
USAM0001504551 USAH0004849385 USAM0001271810
USAH0004849385 USAH0004568356 USAM0001321139
USAM0001321139 USAH0003333081 USAM0001154156
USAH0004568356 USAH0003934397 USAM0001225762
USAM0001225762 USAH0002761185 USAM0000934133
USAM0000934133 00000000000000 00000000000000
USAH0002761185 00000000000000 00000000000000
USAH0003934397 USAH0003179205 USAM0001154156
USAH0003179205 00000000000000 00000000000000
DNKH3159800158 DNKH0082020830 DEUM9010240760
DEUM9010240760 DEUH0106512051 CANM0000295604
CANM0000295604 CANH0001290616 CANM0000280114
CANM0000280114 XXXH0000871199 CANM0000249530
XXXH0000871199 00000000000000 00000000000000
CANH0001290616 CANH0001075509 CANM0000225806
CANH0001075509 CANH0000880082 CANM0000223409
CANM0000223409 00000000000000 00000000000000
CANH0000880082 00000000000000 00000000000000
DEUH0106512051 USAH0005076835 CANM0000241954
USAH0005076835 USAH0003266199 USAM0001292915
USAM0001292915 USAH0002937893 USAM0000915940
USAH0002937893 USAH0002296089 00000000000000
USAH0002296089 00000000000000 00000000000000
USAH0003266199 USAH0002798645 USAM0000960472
USAH0002798645 00000000000000 00000000000000
DNKH0082020830 00000000000000 DNKM0000006806
DNKM0000006806 00000000000000 00000000000000
DNKH5256000960 DNKH5256000750 DNKM0000236427
DNKM0000236427 FRAH2991032677 FRAM4486041658
FRAH2991032677 FRAH2989000970 USAM0001935264
USAM0001935264 USAH0010191243 USAM0001667366
USAH0010191243 USAH0008494668 USAM0001626813
USAH0008494668 USAH0007672963 USAM0001540819
USAM0001540819 USAH0005165522 USAM0001392858
USAH0005165522 USAH0004514172 USAM0001289574
USAH0004514172 USAH0003093027 USAM0001163330
USAH0003093027 00000000000000 00000000000000
USAH0007672963 USAH0007016335 USAM0001552360
USAM0001552360 USAH0005489617 CANM0000275932
USAH0005489617 USAH0005067978 USAM0001237277
USAH0005067978 USAH0004337721 USAM0001136723
USAM0001136723 USAH0002794606 USAM0001046285
USAM0001046285 00000000000000 00000000000000
USAH0002794606 00000000000000 00000000000000
USAH0004337721 USAH0002897558 USAM0001218293
USAM0001218293 USAH0003122129 USAM0001005816
USAH0003122129 00000000000000 00000000000000
USAH0002897558 00000000000000 00000000000000
USAH0007016335 USAH0006139832 USAM0001392858
USAH0006139832 USAH0005405640 USAM0001430106
USAH0005405640 USAH0004455012 USAM0001042139
USAM0001042139 USAH0002138797 USAM0000835633
USAH0002138797 USAH0001805198 USAM0000711382
USAH0001805198 USAH0001568173 USAM0000664525
USAH0004455012 USAH0003779828 USAM0001017532
USAM0001017532 CANH0000514246 CANM0000155159
CANH0000514246 CANH0000380533 CANM0000126405
CANM0000126405 00000000000000 00000000000000
CANH0000380533 00000000000000 00000000000000
USAH0003779828 USAH0003256622 USAM0000857346
USAM0000857346 USAH0002325427 USAM0000855938
USAM0000855938 00000000000000 00000000000000
USAH0002325427 00000000000000 00000000000000
USAH0003256622 00000000000000 00000000000000
FRAH2989000970 FRAH3587028255 USAM0001879149
FRAH3587028255 USAH0010851092 USAM0001806201
USAH0010851092 USAH0010104807 USAM0001667366
USAH0010104807 USAH0008189486 USAM0001491007
USAH0008189486 USAH0007058077 USAM0001531866
USAH0007058077 USAH0006282691 USAM0001445747
USAH0006282691 USAH0005274131 USAM0001215402
USAH0005274131 USAH0003653301 USAM0001213164
USAH0003653301 USAH0003149508 USAM0001025274
USAM0001025274 00000000000000 00000000000000
USAH0003149508 00000000000000 00000000000000
DNKH5256000750 DNKH5256000676 DNKM0000227848
DNKM0000227848 DNKH0205260531 USAM0001829401
DNKH0205260531 00000000000000 00000000000000
DNKH5256000676 00000000000000 00000000000000
ESPH1705215832 ESPH1704526481 840M3132353434
ESPH1704526481 ESPH1704236897 USAM0072436632
USAM0072436632 USAH0068863367 840M3006972816
USAH0068863367 USAH0062658242 USAM0062065919
USAH0062658242 USAH0133313891 GBRM0000598172
USAH0133313891 USAH0128344561 USAM0017064727
USAM0017064727 USAH0014504541 USAM0002124357
USAH0014504541 USAH0012519322 CANM0000383622
USAH0012519322 USAH0011404242 USAM0001773417
USAH0011404242 USAH0010621916 USAM0001665634
USAH0010621916 USAH0008906235 CANM0000390384
CANM0000390384 USAH0008403676 USAM0001491007
USAH0008403676 USAH0007783404 USAM0001597158
USAM0001597158 USAH0006451352 USAM0001458744
USAH0006451352 USAH0005633014 USAM0001297472
USAM0001297472 USAH0003686795 USAM0001138451
USAH0003686795 USAH0003105614 USAM0001010936
USAM0001010936 USAH0002209269 USAM0000878257
USAH0002209269 USAH0001629790 USAM0000769595
USAH0001629790 USAH0001373701 USAM0000598115
USAM0000598115 00000000000000 00000000000000
USAH0001373701 00000000000000 00000000000000
USAH0003105614 00000000000000 00000000000000
USAH0005633014 USAH0004795926 USAM0001277619
USAM0001277619 USAH0003339580 USAM0001152252
USAH0004795926 USAH0004255770 USAM0001153997
USAM0001153997 USAH0002440290 USAM0001004825
USAM0001004825 00000000000000 00000000000000
USAH0002440290 00000000000000 00000000000000
USAH0004255770 USAH0002830562 USAM0001200372
USAM0001200372 USAH0003153536 USAM0000837650
USAH0003153536 00000000000000 00000000000000
USAH0002830562 00000000000000 00000000000000
USAH0007783404 USAH0006986632 USAM0001454800
USAM0001454800 USAH0005170396 USAM0001071565
USAM0001071565 USAH0002260016 USAM0000959314
USAH0005170396 USAH0004196202 USAM0001189870
USAH0004196202 USAH0003838209 USAM0001181068
USAH0003838209 USAH0003361804 USAM0001071565
USAH0003361804 USAH0002874989 USAM0000938193
USAM0000938193 00000000000000 00000000000000
USAH0006986632 USAH0006017672 USAM0001482274
USAM0001482274 USAH0003932472 USAM0001378594
USAH0003932472 USAH0003167506 USAM0001189870
USAH0003167506 USAH0002502070 USAM0000976710
USAH0002502070 USAH0002192793 USAM0000799875
USAM0000799875 00000000000000 00000000000000
USAH0002192793 00000000000000 00000000000000
USAH0006017672 USAH0004332119 USAM0001181572
USAH0004332119 USAH0003583611 USAM0001024451
USAM0001024451 00000000000000 00000000000000
USAH0003583611 00000000000000 00000000000000
USAH0008906235 USAH0005070276 USAM0001430145
USAH0005070276 USAH0004561638 USAM0001320265
USAM0001320265 USAH0004074985 USAM0001150470
USAH0004074985 USAH0003557492 USAM0001142880
USAM0001142880 USAH0002931890 USAM0000903777
USAM0000903777 00000000000000 00000000000000
USAH0002931890 00000000000000 00000000000000
USAH0003557492 USAH0002901794 USAM0001023066
USAM0001023066 00000000000000 00000000000000
USAH0002901794 00000000000000 00000000000000
USAH0004561638 USAH0003643440 USAM0001175471
USAH0003643440 USAH0003122067 USAM0001023066
USAH0003122067 00000000000000 00000000000000
USAH0128344561 USAH0121440583 USAM0002141196
USAM0002141196 USAH0012595455 USAM0001773417
USAH0012595455 USAH0010633437 USAM0001682485
USAH0010633437 USAH0009065015 USAM0001650414
USAH0009065015 USAH0007611411 USAM0001450228
USAH0007611411 USAH0006438879 USAM0001516215
USAH0006438879 USAH0005487878 USAM0001397752
USAH0005487878 USAH0004315292 USAM0001388370
USAM0001388370 USAH0004159668 USAM0001232296
USAH0004159668 00000000000000 00000000000000
USAH0004315292 USAH0003597468 USAM0001239405
USAM0001239405 USAH0002685563 USAM0001127374
USAM0001127374 USAH0002884346 USAM0001054181
USAM0001054181 00000000000000 00000000000000
USAH0002884346 00000000000000 00000000000000
USAH0002685563 00000000000000 00000000000000
USAH0003597468 00000000000000 00000000000000
USAH0121440583 USAH0014860763 USAM0002160458
USAH0014860763 USAH0012884593 USAM0001964484
USAH0012884593 USAH0012143029 USAM0001708937
USAM0001708937 USAH0007793060 USAM0001556373
USAH0007793060 USAH0006639250 USAM0001458744
USAH0006639250 USAH0004439180 USAM0001383247
USAH0004439180 USAH0003920961 USAM0001094305
USAH0012143029 USAH0011270482 USAM0001739091
USAM0001739091 USAH0008230744 CANM0000308691
USAH0008230744 USAH0007959919 USAM0001430145
USAH0007959919 USAH0006295005 USAM0001397209
USAH0006295005 USAH0005120340 USAM0001291028
USAH0005120340 USAH0002728524 USAM0001150469
USAH0002728524 USAH0002358119 USAM0000882310
USAM0000882310 00000000000000 00000000000000
USAH0002358119 00000000000000 00000000000000
USAH0011270482 USAH0007880968 USAM0001664494
USAM0001664494 USAH0007485434 USAM0001432733
USAH0007485434 USAH0005130043 USAM0001392858
USAH0005130043 USAH0003246463 USAM0001298309
USAM0001298309 USAH0002598194 USAM0001138451
USAH0002598194 00000000000000 00000000000000
USAH0003246463 00000000000000 00000000000000
USAH0007880968 USAH0007056034 USAM0001444841
USAM0001444841 USAH0004338193 USAM0001136723
USAH0004338193 USAH0003541190 USAM0001239886
USAH0003541190 USAH0002711909 USAM0000837025
USAH0002711909 00000000000000 00000000000000
USAH0007056034 USAH0005172922 USAM0001312008
USAH0005172922 USAH0004799027 USAM0001338589
USAM0001338589 USAH0003905546 USAM0001124780
USAH0003905546 USAH0003491109 USAM0001026115
USAH0003491109 USAH0003243808 USAM0001104711
USAM0001104711 00000000000000 00000000000000
USAH0003243808 00000000000000 00000000000000
USAH0004799027 USAH0004799015 USAM0001346908
USAM0001346908 CANH0001132001 CANM0000249530
CANH0001132001 CANH0000982670 CANM0000239301
CANH0000982670 CANH0000827194 00000000000000
CANH0000827194 00000000000000 00000000000000
USAH0004799015 CANH0001000597 CANM0000248310
CANM0000248310 00000000000000 00000000000000
CANH0001000597 00000000000000 00000000000000
ESPH1704236897 ESPH1703613363 CANM0007925737
ESPH1703613363 00000000000000 00000000000000
ESPH1705358103 ESPH1704528365 USAM0074414125
USAM0074414125 USAH0058591952 USAM0071703339
USAH0058591952 USAH0056265400 USAM0069981349
USAH0056265400 USAH0053452457 USAM0065917481
USAH0053452457 USAH0052475668 DEUM0341485350
USAH0052475668 USAH0051449617 GBRM0000598172
USAH0051449617 USAH0017184796 CANM0006026421
USAH0017184796 USAH0015483707 USAM0002124357
USAH0015483707 USAH0014334639 CANM0000382748
USAH0014334639 USAH0013521903 CANM0000363162
USAH0013521903 USAH0012687092 CANM0000352790
USAH0012687092 USAH0011231201 USAM0001811342
USAM0001811342 USAH0008936204 USAM0001650414
USAH0008936204 USAH0007661356 USAM0001491007
USAH0007661356 USAH0006274145 USAM0001447141
USAM0001447141 USAH0003864746 USAM0001189870
USAH0003864746 USAH0003402697 USAM0001024856
USAH0003402697 USAH0002799821 USAM0001008402
USAM0001008402 USAH0002091192 USAM0000830000
USAM0000830000 00000000000000 00000000000000
USAH0002091192 00000000000000 00000000000000
USAH0002799821 USAH0001727180 USAM0000700000
USAM0000700000 00000000000000 00000000000000
USAH0001727180 00000000000000 00000000000000
USAH0006274145 USAH0005870731 USAM0001397752
USAH0005870731 USAH0004634966 USAM0001382828
USAM0001382828 USAH0003936436 USAM0001232296
USAH0003936436 USAH0003807330 USAM0001100194
USAM0001100194 USAH0002316641 USAM0000931354
USAH0002316641 00000000000000 00000000000000
USAH0003807330 USAH0003131528 USAM0001024856
USAH0003131528 00000000000000 00000000000000
USAH0004634966 00000000000000 00000000000000
USAH0011231201 USAH0010689608 USAM0001724657
USAH0010689608 USAH0008892983 USAM0001563453
USAH0008892983 USAH0007903529 USAM0001581061
USAM0001581061 USAH0005165522 USAM0001392858
USAH0007903529 USAH0006134310 USAM0001524454
USAM0001524454 USAH0004899892 USAM0001365058
USAM0001365058 USAH0004050151 USAM0001305460
USAH0004050151 USAH0003672076 USAM0001190953
USAM0001190953 USAH0002394985 USAM0000901195
USAH0002394985 00000000000000 00000000000000
USAH0003672076 USAH0002487865 USAM0000859213
USAH0002487865 00000000000000 00000000000000
USAH0004899892 USAH0003707935 USAM0001265210
USAM0001265210 USAH0002997102 USAM0001199286
USAM0001199286 USAH0002791401 USAM0001092436
USAM0001092436 00000000000000 00000000000000
USAH0002791401 00000000000000 00000000000000
USAH0002997102 00000000000000 00000000000000
USAH0003707935 USAH0002553657 USAM0000986466
USAM0000986466 00000000000000 00000000000000
USAH0002553657 00000000000000 00000000000000
USAH0006134310 USAH0005283541 USAM0001426683
USAM0001426683 USAH0004941765 USAM0001375651
USAM0001375651 USAH0003270748 USAM0001171453
USAH0003270748 USAH0002807250 USAM0000984796
USAH0002807250 00000000000000 00000000000000
USAH0004941765 USAH0004443081 USAM0001291499
USAH0005283541 USAH0004599447 USAM0001222191
USAM0001222191 USAH0003036504 USAM0001102723
USAM0001102723 USAH0002043708 USAM0000994595
USAM0000994595 00000000000000 00000000000000
USAH0002043708 00000000000000 00000000000000
USAH0003036504 00000000000000 USAM0000602253
USAM0000602253 USAH0002967946 USAM0000601291
USAM0000601291 USAH0002934743 USAM0000592570
USAM0000592570 USAH0002645389 USAM0000580204
USAM0000580204 USAH0002230149 USAM0000557482
USAM0000557482 USAH0001557296 USAM0000512974
USAM0000512974 USAH0001408844 USAM0000458786
USAM0000458786 00000000000000 00000000000000
USAH0001408844 USAH0001134689 USAM0000365219
USAM0000365219 00000000000000 00000000000000
USAH0001134689 00000000000000 00000000000000
USAH0001557296 USAH0001368317 USAM0000349258
USAM0000349258 00000000000000 00000000000000
USAH0001368317 USAH0001068614 USAM0000263144
USAM0000263144 00000000000000 00000000000000
USAH0001068614 00000000000000 00000000000000
USAH0002230149 USAH0002143965 USAM0000528424
USAM0000528424 USAH0001581532 USAM0000509779
USAM0000509779 USAH0000932926 USAM0000453191
USAM0000453191 00000000000000 00000000000000
USAH0000932926 00000000000000 00000000000000
USAH0001581532 USAH0001388019 USAM0000475595
USAM0000475595 USAH0000913505 USAM0000418022
USAM0000418022 00000000000000 00000000000000
USAH0000913505 00000000000000 00000000000000
USAH0001388019 USAH0000983618 USAM0000396068
USAM0000396068 00000000000000 00000000000000
USAH0000983618 00000000000000 00000000000000
USAH0002143965 USAH0001948147 USAM0000525463
USAM0000525463 USAH0001104226 USAM0000475416
USAM0000475416 USAH0000934508 USAM0000353618
USAM0000353618 00000000000000 00000000000000
USAH0000934508 00000000000000 00000000000000
USAH0001104226 00000000000000 00000000000000
USAH0001948147 USAH0001794833 USAM0000475595
USAH0001794833 USAH0001616572 USAM0000515916
USAM0000515916 USAH0001132909 USAM0000432069
USAM0000432069 00000000000000 00000000000000
USAH0001132909 00000000000000 00000000000000
USAH0001616572 USAH0001331094 USAM0000358152
USAM0000358152 00000000000000 00000000000000
USAH0001331094 USAH0001130204 USAM0000380063
USAM0000380063 00000000000000 00000000000000
USAH0001130204 00000000000000 00000000000000
USAH0002645389 USAH0002488252 USAM0000567336
USAM0000567336 USAH0001910972 USAM0000533769
USAM0000533769 USAH0001427010 USAM0000473218
USAH0001427010 USAH0001055080 USAM0000460803
USAH0001055080 00000000000000 00000000000000
USAH0001910972 USAH0001492047 USAM0000460803
USAH0001492047 USAH0001201736 USAM0000283950
USAM0000283950 00000000000000 00000000000000
USAH0001201736 00000000000000 00000000000000
USAH0002488252 USAH0002188264 USAM0000511244
USAH0002188264 USAH0001866866 USAM0000528424
USAH0001866866 USAH0001367391 USAM0000475595
USAH0001367391 USAH0001122169 USAM0000392661
USAM0000392661 00000000000000 00000000000000
USAH0001122169 00000000000000 00000000000000
USAH0002934743 00000000000000 USAM0000591871
USAM0000591871 USAH0002615015 USAM0000586731
USAM0000586731 USAH0002458757 USAM0000537680
USAM0000537680 USAH0001540439 USAM0000470256
USAM0000470256 USAH0000702214 USAM0000437726
USAM0000437726 00000000000000 00000000000000
USAH0000702214 00000000000000 00000000000000
USAH0001540439 USAH0001304141 USAM0000462159
USAM0000462159 USAH0001056732 USAM0000429235
USAM0000429235 00000000000000 00000000000000
USAH0001056732 00000000000000 00000000000000
USAH0001304141 USAH0001132867 USAM0000437726
USAH0001132867 00000000000000 00000000000000
USAH0002458757 USAH0002325800 USAM0000553667
USAH0002325800 USAH0002182715 USAM0000524993
USAM0000524993 USAH0001609529 USAM0000439587
USAM0000439587 00000000000000 00000000000000
USAH0001609529 USAH0001175197 USAM0000293925
USAM0000293925 00000000000000 00000000000000
USAH0001175197 00000000000000 00000000000000
USAH0002182715 USAH0001757262 USAM0000536875
USAM0000536875 USAH0001006799 USAM0000425345
USAM0000425345 00000000000000 00000000000000
USAH0001006799 00000000000000 00000000000000
USAH0001757262 00000000000000 00000000000000
USAH0002615015 USAH0002295424 USAM0000580919
USAM0000580919 USAH0002253871 USAM0000546331
USAM0000546331 USAH0001146132 USAM0000475548
USAM0000475548 USAH0000969573 USAM0000411629
USAM0000411629 00000000000000 00000000000000
USAH0000969573 00000000000000 00000000000000
USAH0001146132 00000000000000 00000000000000
USAH0002253871 USAH0001983365 USAM0000557482
USAH0001983365 USAH0001860251 USAM0000539041
USAM0000539041 USAH0001102664 USAM0000443144
USAM0000443144 00000000000000 00000000000000
USAH0001102664 00000000000000 00000000000000
USAH0001860251 00000000000000 00000000000000
USAH0002295424 USAH0002203749 USAM0000563299
USAM0000563299 USAH0001335460 USAM0000512974
USAH0001335460 USAH0001190102 USAM0000457014
USAM0000457014 00000000000000 00000000000000
USAH0001190102 00000000000000 00000000000000
USAH0002203749 USAH0001990180 USAM0000547807
USAM0000547807 USAH0001178244 USAM0000483717
USAM0000483717 USAH0001162109 USAM0000423199
USAM0000423199 00000000000000 00000000000000
USAH0001162109 00000000000000 00000000000000
USAH0001178244 00000000000000 00000000000000
USAH0001990180 00000000000000 00000000000000
USAH0002967946 00000000000000 USAM0000591871
USAH0004599447 USAH0003867780 USAM0001265210
USAH0003867780 USAH0002812621 USAM0001120015
USAM0001120015 USAH0002815702 USAM0001075870
USAM0001075870 00000000000000 00000000000000
USAH0002815702 00000000000000 00000000000000
USAH0002812621 00000000000000 00000000000000
ESPH1704528365 ESPH1704127135 USAM0072436632
ESPH1704127135 ESPH1703551145 USAM0068565117
USAM0068565117 USAH0132816010 CANM0010705608
USAH0132816010 USAH0018049401 CANM0006026421
ESPH1703551145 ESPH1703195384 USAM0062065919
ESPH1703195384 ESPH1702693539 USAM0131621936
USAM0131621936 USAH0015803361 USAM0002250783
USAH0015803361 USAH0014395899 CANM0000398436
CANM0000398436 CANH0003657021 CANM0000352790
CANH0003657021 CANH0002893729 CANM0000336337
CANH0002893729 CANH0002395018 CANM0000322738
CANM0000322738 CANH0001727890 USAM0001189870
CANH0001727890 CANH0001429451 CANM0000264804
CANH0001429451 XXXH0000889059 CANM0000248598
XXXH0000889059 00000000000000 00000000000000
CANH0002395018 CANH0001890606 CANM0000259542
CANM0000259542 CANH0000926065 CANM0000213155
CANH0000926065 CANH0000665511 CANM0000212300
CANH0000665511 00000000000000 00000000000000
USAH0014395899 XXXH0003482528 CANM0000363162
XXXH0003482528 00000000000000 00000000000000
ESPH1702693539 ESPH1702331697 CANM0006026421
ESPH1702331697 ESPH1701793583 CANM0006663935
CANM0006663935 CANH0005319783 CANM0005279989
CANM0005279989 CANH0004244417 CANM0000382748
CANH0004244417 CANH0003339043 CANM0000352790
CANH0003339043 CANH0002317438 USAM0001392858
CANH0002317438 CANH0001775650 CANM0000259958
CANH0001775650 CANH0001176845 CANM0000237136
CANH0001176845 CANH0000912386 CANM0000216947
CANH0000912386 CANH0000604373 CANM0000165436
CANM0000165436 CANH0000377754 CANM0000129946
CANH0000604373 00000000000000 00000000000000
ESPH1701793583 ESPH1701458133 ESPM1701496365
ESPM1701496365 ESPH3901112427 CANM0005457798
ESPH3901112427 CANH0005293656 CANM0000392405
CANH0005293656 CANH0004280100 CANM0000382748
CANH0004280100 CANH0003194136 CANM0000352790
CANH0003194136 CANH0003167673 USAM0001491007
CANH0003167673 CANH0001735250 USAM0001189870
CANH0001735250 CANH0001248867 CANM0000198998
CANH0001248867 CANH0000910554 CANM0000160321
CANH0000910554 CANH0000753894 CANM0000212300
CANH0000753894 CANH0000482719 CANM0000136380
CANH0000482719 00000000000000 00000000000000
ESPH1701458133 00000000000000 00000000000000
ESPH1705215794 ESPH1704528384 USAM0072186769
USAM0072186769 USAH0063437444 USAM0139358472
USAM0139358472 USAH0135511521 AUSM0000930377
AUSM0000930377 USAH0015804313 CANM0005457798
USAH0015804313 USAH0014085789 USAM0001926780
